State,,,,Phi,theta,Q,,,,q2,q3,Phi_radians,phi in -pi to +pi
1C4,60,-60,60,0,180,0.57,-35.26,-35.26,-35.26,0,-0.57,0,0
4C1,-60,60,-60,0,0,0.57,35.26,35.26,35.26,0,0.57,0,0
14B,0,60,-60,240,90,0.76,-35.26,74.2,-35.26,0.76,0,-2.09,-120
B14,0,-60,60,60,90,0.76,35.26,-74.2,35.26,0.76,0,1.05,60
25B,-60,0,60,120,90,0.76,74.2,-35.26,-35.26,0.76,0,2.09,120
B25,60,0,-60,300,90,0.76,-74.2,35.26,35.26,0.76,0,-1.05,-60
36B,60,-60,0,0,90,0.76,-35.26,-35.26,74.2,0.76,0,0,0
B36,-60,60,0,180,90,0.76,35.26,35.26,-74.2,0.76,0,3.14,180
1H2,45,-15,0,270,129,0.42,-42.16,9.07,-17.83,0.33,-0.26,-1.57,-90
2H1,-45,15,0,90,51,0.42,42.16,-9.07,17.83,0.33,0.26,1.57,90
2H3,-60,45,-15,150,51,0.42,42.16,17.83,-9.06,0.33,0.26,2.62,150
3H2,60,-45,15,330,129,0.42,-42.16,-17.83,9.06,0.33,-0.26,-0.52,-30
3H4,45,-60,45,30,129,0.42,-17.83,-42.16,9.07,0.33,-0.26,0.52,30
4H3,-45,60,-45,210,51,0.42,17.83,42.16,-9.07,0.33,0.26,-2.62,-150
4H5,-15,45,-60,270,51,0.42,-9.07,42.16,17.83,0.33,0.26,-1.57,-90
5H4,15,-45,60,90,129,0.42,9.07,-42.16,-17.83,0.33,-0.26,1.57,90
5H6,0,-15,45,150,129,0.42,9.07,-17.83,-42.16,0.33,-0.26,2.62,150
6H5,0,15,-45,330,51,0.42,-9.07,17.83,42.16,0.33,0.26,-0.52,-30
6H1,-15,0,-15,30,51,0.42,17.83,-9.07,42.16,0.33,0.26,0.52,30
1H6,15,0,15,210,129,0.42,-17.83,9.07,-42.16,0.33,-0.26,-2.62,-150
1S3,-30,60,-30,210,88,0.62,0,50.84,-50.84,0.62,0.02,-2.62,-150
3S1,30,-60,30,30,92,0.62,0,-50.84,50.84,0.62,-0.02,0.52,30
5S1,-30,-30,60,90,92,0.62,50.84,-50.84,0,0.62,-0.02,1.57,90
1S5,30,30,-60,270,88,0.62,-50.84,50.84,0,0.62,0.02,-1.57,-90
6S2,60,-30,-30,330,88,0.62,-50.84,0,50.84,0.62,0.02,-0.52,-30
2S6,-60,30,30,150,92,0.62,50.84,0,-50.84,0.62,-0.02,2.62,150
1E,30,0,0,240,125,0.45,-35.26,17.37,-35.26,0.37,-0.26,-2.09,-120
E1,-30,0,0,60,55,0.45,35.26,-17.37,35.26,0.37,0.26,1.05,60
2E,-60,30,0,120,55,0.45,46.86,0,0,0.37,0.26,2.09,120
E2,60,-30,0,300,125,0.45,-46.86,0,0,0.37,-0.26,-1.05,-60
3E,60,-60,30,360,125,0.45,-35.26,-35.26,17.37,0.37,-0.26,0,0
E3,-60,60,-30,180,55,0.45,35.26,35.26,-17.37,0.37,0.26,3.14,180
4E,-30,60,-60,240,55,0.45,0,46.86,0,0.37,0.26,-2.09,-120
E4,30,-60,60,60,125,0.45,0,-46.86,0,0.37,-0.26,1.05,60
5E,0,-30,60,120,125,0.45,17.37,-35.26,-35.26,0.37,-0.26,2.09,120
E5,0,30,-60,300,55,0.45,-17.37,35.26,35.26,0.37,0.26,-1.05,-60
6E,0,0,-30,360,55,0.45,0,0,46.86,0.37,0.26,0,0
E6,0,0,30,180,125,0.45,0,0,-46.86,0.37,-0.26,3.14,180